"","Loan_Term","Income","Age","Status_marital","Type_residence","Red_flag","Type_employment","school","default","Time_to_default","delta"
"3354",48,2721.87,5,3,5,1,2,6,0,44,0
"3355",48,2722.25,5,4,5,1,2,1,1,11,1
"3356",36,2725.43,5,4,4,1,2,4,0,32,0
"3357",60,2729.73,5,3,5,1,2,4,0,56,0
"3358",48,2731.41,6,3,5,1,2,4,0,44,0
"3359",48,2733.16,4,3,5,1,2,6,0,44,0
"3360",48,2734.99,6,3,5,1,2,4,0,44,0
"3361",60,2735.02,5,3,5,1,2,4,0,56,0
"3362",37,2735.92,3,2,4,1,2,5,0,33,0
"3363",48,2736.61,5,3,5,2,2,4,1,16,1
"3364",48,2737,4,3,2,2,2,4,0,44,0
"3365",37,2738,4,2,7,1,2,4,0,33,0
"3366",60,2739.3,5,3,5,1,1,6,0,56,0
"3367",24,2740,6,3,5,1,2,3,0,20,0
"3368",36,2742.22,6,3,5,1,2,1,0,32,0
"3369",60,2743.32,6,3,5,1,2,4,0,56,0
"3370",48,2743.36,4,2,4,2,2,4,0,44,0
"3371",60,2744.3,5,2,2,1,2,6,0,56,0
"3372",32,2745,5,3,5,1,1,4,0,28,0
"3373",24,2745.15,6,3,5,1,2,4,0,20,0
"3374",36,2747.87,6,6,2,1,2,4,0,32,0
"3375",48,2748.96,4,3,2,2,2,5,0,44,0
"3376",60,2749.37,3,2,3,2,1,6,0,56,0
"3377",60,2750,3,2,3,1,2,6,0,56,0
"3378",48,2750,5,3,4,1,2,1,1,11,1
"3379",48,2750,5,3,4,1,2,1,1,0,1
"3380",60,2756.22,7,2,5,1,2,1,0,56,0
"3381",48,2757.09,7,3,5,1,2,4,0,44,0
"3382",12,2758.21,6,3,5,1,2,4,0,8,0
"3383",37,2762.13,6,3,2,2,2,4,0,33,0
"3384",48,2763,6,3,7,1,1,4,0,44,0
"3385",60,2764.63,6,3,5,1,2,2,0,56,0
"3386",49,2765.08,6,3,5,1,2,2,0,45,0
"3387",36,2765.83,4,2,3,1,2,5,0,32,0
"3388",36,2767.72,7,3,5,1,2,6,0,32,0
"3389",60,2770,5,3,2,1,2,4,1,15,1
"3390",24,2770,4,2,3,1,2,5,0,20,0
"3391",48,2770.96,6,3,5,1,2,4,0,44,0
"3392",60,2772.18,6,3,5,1,2,4,0,56,0
"3393",48,2773.7,7,3,5,2,2,1,0,44,0
"3394",36,2781.39,4,4,3,2,2,8,0,32,0
"3395",24,2783.13,7,3,5,2,2,2,1,2,1
"3396",60,2783.53,3,2,3,1,2,5,0,56,0
"3397",60,2784,4,3,5,1,2,6,1,3,1
"3398",60,2784,4,3,5,1,2,6,1,0,1
"3399",60,2784.32,4,2,5,1,2,6,0,56,0
"3400",36,2785,4,3,5,1,2,4,0,32,0
"3401",49,2786,4,3,5,1,2,5,0,45,0
"3402",24,2786.69,4,6,2,1,2,5,0,20,0
"3403",45,2787.5,6,4,5,1,2,4,1,13,1
"3404",60,2787.76,4,6,5,1,2,4,1,22,1
"3405",37,2788.11,7,3,5,1,2,1,0,33,0
"3406",48,2793.96,5,4,5,1,2,5,0,44,0
"3407",48,2795,5,2,5,1,2,4,0,44,0
"3408",48,2795.39,6,3,5,1,1,1,0,44,0
"3409",60,2796.19,5,3,5,2,2,5,1,33,1
"3410",24,2799.54,5,3,5,1,2,4,0,20,0
"3411",60,2800,7,3,4,1,2,1,0,56,0
"3412",60,2800,6,3,5,1,2,4,0,56,0
"3413",30,2800,4,2,5,1,1,4,1,9,1
"3414",60,2800,6,5,4,1,1,1,1,1,1
"3415",24,2800,5,2,3,1,1,5,0,20,0
"3416",60,2800,4,6,3,1,2,3,0,56,0
"3417",60,2800,5,2,2,1,2,8,0,56,0
"3418",48,2800,7,4,5,1,1,4,1,10,1
"3419",48,2800,5,3,5,1,2,1,0,44,0
"3420",48,2800,4,3,4,1,1,2,1,13,1
"3421",24,2800,2,2,5,1,1,3,0,20,0
"3422",48,2800,4,2,7,1,2,4,0,44,0
"3423",48,2800,4,2,3,1,2,4,1,10,1
"3424",60,2800,4,2,3,2,2,6,0,56,0
"3425",48,2800,4,3,2,1,1,4,1,0,1
"3426",60,2800,6,3,5,1,2,4,0,56,0
"3427",60,2800,5,3,5,1,2,4,1,1,1
"3428",24,2800,5,3,4,1,2,6,0,20,0
"3429",60,2800,6,5,4,1,1,1,1,0,1
"3430",48,2800,4,3,2,1,1,4,1,0,1
"3431",48,2800,4,2,3,1,2,4,1,0,1
"3432",36,2800.15,6,3,5,1,2,4,0,32,0
"3433",38,2800.73,5,3,7,1,2,2,0,34,0
"3434",12,2801,4,3,2,2,1,6,0,8,0
"3435",48,2801.13,4,3,2,1,2,4,0,44,0
"3436",60,2802.77,4,2,5,1,2,4,0,56,0
"3437",60,2807.79,4,3,4,1,2,4,0,56,0
"3438",60,2808.75,5,4,5,1,2,6,0,56,0
"3439",36,2810.68,5,3,2,1,2,4,0,32,0
"3440",60,2811.02,6,3,5,1,2,4,1,37,1
"3441",24,2814.5,5,2,5,1,2,6,0,20,0
"3442",48,2815.93,5,2,2,1,2,6,0,44,0
"3443",48,2817,4,3,4,1,2,1,0,44,0
"3444",24,2819.89,5,3,5,1,2,6,0,20,0
"3445",60,2821.18,4,6,5,1,2,4,0,56,0
"3446",60,2823.6,7,3,5,1,2,4,0,56,0
"3447",37,2824.26,7,3,5,1,2,4,0,33,0
"3448",60,2828.27,2,2,3,1,2,5,0,56,0
"3449",24,2828.42,4,3,4,1,2,4,0,20,0
"3450",48,2829.53,5,3,2,1,2,6,0,44,0
"3451",60,2834,6,4,5,1,2,8,0,56,0
"3452",37,2834.41,7,3,4,1,2,4,0,33,0
"3453",60,2834.9,4,3,7,1,2,6,0,56,0
"3454",60,2837.18,5,3,5,1,2,6,0,56,0
"3455",12,2837.24,4,2,3,1,2,8,0,8,0
"3456",24,2839.89,5,3,5,1,2,9,0,20,0
"3457",48,2840.36,7,3,4,1,2,3,0,44,0
"3458",24,2845.01,7,3,2,1,2,6,0,20,0
"3459",60,2845.44,6,2,5,1,2,4,0,56,0
"3460",42,2846.5,3,2,3,1,2,5,0,38,0
"3461",36,2847.85,7,3,5,1,2,4,1,16,1
"3462",60,2849.84,5,3,5,1,2,4,0,56,0
"3463",60,2849.84,5,3,5,1,2,4,0,56,0
"3464",24,2850,4,2,4,1,1,5,0,20,0
"3465",48,2851,4,2,3,1,2,5,1,21,1
"3466",48,2851,4,2,3,1,2,5,1,0,1
"3467",60,2853.43,5,3,5,1,2,4,0,56,0
"3468",22,2855.16,5,5,5,1,2,6,0,18,0
"3469",24,2860.52,4,2,4,1,2,6,0,20,0
